Iteracja: 100; Wynik: 10000000; 91 Czas: 91
Iteracja: 110; Wynik: 11000000; 90 Czas: 90
Iteracja: 120; Wynik: 12000000; 95 Czas: 95
Iteracja: 130; Wynik: 13000000; 112 Czas: 112
Iteracja: 140; Wynik: 14000000; 112 Czas: 112
Iteracja: 150; Wynik: 15000000; 100 Czas: 100
Iteracja: 160; Wynik: 16000000; 112 Czas: 112
Iteracja: 170; Wynik: 17000000; 127 Czas: 127
Iteracja: 180; Wynik: 18000000; 112 Czas: 112
Iteracja: 190; Wynik: 19000000; 115 Czas: 115
Iteracja: 200; Wynik: 20000000; 120 Czas: 120
